codice_prodotto,nome_capo,ordine,immagine_url
HEE-001,Adelaide,1,https://drive.google.com/file/d/1wEN_SUHJgl01ZAitHFCK8clqdpIbfr7u/view
HEE-001,Adelaide,2,https://drive.google.com/file/d/1hszl6ivxZSClp1ifTp85CiRDOaloOA56/view
HEE-002,Alaska,1,https://drive.google.com/file/d/1XdVbUjCwlUVSrxqIwsroSyNQ-HxpP6ix/view
HEE-002,Alaska,2,https://drive.google.com/file/d/1AgCgfrd1CQckasfcWsh46GAl92lekRb4/view
HEE-002,Alaska,3,https://drive.google.com/file/d/1PxIYnXgIpq7dy3O3Xv3_LZwBOZejisNz/view
HEE-002,Alaska,4,https://drive.google.com/file/d/18NyrH67A2jzUB7XBjfArgFBlhNs22scm/view
HEE-002,Alaska,5,https://drive.google.com/file/d/1WTksw0qsAxAsb4E0IPuM5BX6OFy00N96/view
HEE-002,Alaska,6,https://drive.google.com/file/d/10EHANwkmYrgHdqSUno1FPz91FiMwb2Kd/view
HEE-002,Alaska,7,https://drive.google.com/file/d/1GY8r40curl-7w1z0QD40Vv0I62IdYZVI/view
HEE-002,Alaska,8,https://drive.google.com/file/d/1kCuQTpj1xjCvOMHAlg92DxyFuOfLCVWV/view
HEE-002,Alaska,9,https://drive.google.com/file/d/1LBqG188AoHjvLsBnKH4krCyVj025eKR6/view
HEE-002,Alaska,10,https://drive.google.com/file/d/1uQYgrWczF1_zAEv-iV38GvevD_DBTeMm/view
HEE-004,Altea,1,https://drive.google.com/file/d/1sHt4ZrTws0WyZqGWvcMvqprusgmfFuf-/view
HEE-004,Altea,2,https://drive.google.com/file/d/1nsBX1LvUaDcD9l0RoXIi0Xhza4HeOZau/view
HEE-004,Altea,3,https://drive.google.com/file/d/1lAi6VGIaQ74V8sfnIsZZg_WWSO8mYcJi/view
HEE-004,Altea,4,https://drive.google.com/file/d/1U2j5P-deHqHLNVKFW40zrozeewc5eZc_/view
HEE-004,Altea,5,https://drive.google.com/file/d/1iJZ6hqniFEiuhC6o_X4bhX_itf-e--lR/view
HEE-004,Altea,6,https://drive.google.com/file/d/1qNHsfXUjzyrpvhUgIis9ayhI0Ewae2u7/view
HEE-004,Altea,7,https://drive.google.com/file/d/1ZCc73LSjBU-JGfaRxznYzVAJot9Ea24N/view
HEE-004,Altea,8,https://drive.google.com/file/d/1HW5mosfqUwU9QdTfzc5PqxSqTkHkmEzL/view
HEE-004,Altea,9,https://drive.google.com/file/d/1clWYULzHho0MqT3V9zMTONfZmM9mJ1zH/view
HEE-004,Altea,10,https://drive.google.com/file/d/10A4HY0R71u_5aI7CX6L03HDSnlehwmk5/view
HEE-004,Altea,11,https://drive.google.com/file/d/1fWoOPhPeurnHBJvKQ-EaVrnyLjrwIpYe/view
HEE-004,Altea,12,https://drive.google.com/file/d/1Lc2UrQRUserFVxscPlpNLHz43n87qWBb/view
HEE-004,Altea,13,https://drive.google.com/file/d/1Cql5nW_hnEJDGQajqLEqrO8lseAacExw/view
HEE-004,Altea,14,https://drive.google.com/file/d/1UO0xkm_bX9Zqq-FAqO9WgOIxcSGkxech/view
HEE-004,Altea,15,https://drive.google.com/file/d/1U6W43aruCCzrZ3Trlax4Feu6KM0TdvJo/view
HEE-005,Amalfi,1,https://drive.google.com/file/d/1lepfwKhfFv-ts2MUCKyUwiImWVWnCP0D/view
HEE-005,Amalfi,2,https://drive.google.com/file/d/1xE0cyNcWHZ3ftjlZUwYNy3iHyyTk14Wu/view
HEE-005,Amalfi,3,https://drive.google.com/file/d/1ebCMkSRTAZMik2OXGpQGL3Y_Pnnn2mGy/view
HEE-005,Amalfi,4,https://drive.google.com/file/d/1bQ46fWkh8U736kCLnugSW0kspK0Jm-Ft/view
HEE-005,Amalfi,5,https://drive.google.com/file/d/1BChGyG9oKfndT0T5hT6sHeH7-jtMS3hQ/view
