ARTICOLO ,CATEGORIA,STAGIONE ,LINEA ,COLORI,N CAPI TU ,N. CAPI XS ,N CAPI S,N CAPI M,N CAPI L ,N CAPI XL ,N CAPI XXL,PREZZO LAB ,PREZZO ECOMMERCE
ADELAIDE   ✅,TSHIRT,P/E,COTONE,BIANCO ,,,0,2,3,,,"59,99",
ADELAIDE.  ✅. ,TSHIRT,P/E,COTONE,PIOMBO,,,1,6,6,,,"59,99",
ADELAIDE   ✅ ,TSHIRT,P/E,COTONE,CORDA ,,,4,8,7,,,"59,99",
,,,,,,,,,,,,,
ALTEA   ✅,ABITO ,P/E,MAGLIERIA ,NERO,4,,,,,,,160,
ALTEA  ✅,ABITO ,P/E,MAGLIERIA ,CIOCCOLATO ,3,,,,,,,160,
ALTEA  ✅,ABITO ,P/E,MAGLIERIA ,BIANCO,3,,,,,,,160,
,,,,,,,,,,,,,
ALASKA ✅,MAGLIONE ,A/I,MAGLIERIA ,CREMA ,3,,,,,,,,
,,,,,,,,,,,,,
ALICANTE ✅,MAGLIONE ,P/E,MAGLIERIA ,CREMA ,,,1,4,,,,"129,99",
ALICANTE ✅,MAGLIONE ,P/E,MAGLIERIA ,NERO ,,,2,3,,,,"129,99",
,,,,,,,,,,,,,
AMALFI ✅,TSHIRT,P/E,MAGLIERIA ,CREMA ,,,2,4,0,0,0,"59,99",
AMALFI ✅,TSHIRT ,P/E,MAGLIERIA ,NERO ,,,2,2,0,0,0,"59,99",
,,,,,,,,,,,,,
AMSTERDAM ✅,PANTALONI,A/I,FELPA  L.,NERO ,,,2,3,0,,,"249,99",
AMSTERDAM ✅,PANTALONI,A/I,FELPA  L.,CAMMELLO ,,,1,5,0,,,"249,99",
AMSTERDAM ✅,PANTALONI,A/I,FELPA  L.,BIANCO ,,,0,1,1,,,"249,99",
AMSTERDAM  ✅,PANTALONI ,A/I,FELPA  L.,PIOMBO ,,,5,3,5,,,"249,99",
,,,,,,,,,,,,,
ASIA,VESTITO,P/E,MAGLIERIA,NERO,3,,,,,,,140,
ASIA,VESTITO,P/E,MAGLIERIA,BIANCO,3,,,,,,,140,
ASIA,VESTITO,P/E,MAGLIERIA,MORO,2,,,,,,,140,
,,,,,,,,,,,,,
ATLANTA      ✅,GIACCA,P/E,FELPA  P.,CORDA ,,,4,3,3,,,"219,99",
ATLANTA      ✅,GIACCA,P/E,FELPA  P.,NERO ,,,3,4,2,,,"219,99",
,,,,,,,,,,,,,
AUSTRALIA ✅,ABITO ,P/E,FELPA  P.,NERO ,,,2,1,1,,,156,
