codice,categoria,nome,costo_unitario,unita_misura_fonte,destinazione,unita_app,fornitore,note
ACC-101,Ricami,Patch ricamato,1.50,cad.,accessorio,cad,,
ACC-102,Packaging,Biglietto di ringraziamento,0.70,cad.,accessorio,cad,,
MAT-101,Tessuti,Caldo cotone,39.50,kg,materiale,kg,,
MAT-102,Elastici,Elastico trasparente,110.00,kg,materiale,kg,,"Accessorio per uso, ma censito come materiale: l'app non prevede accessori a kg"
MAT-103,Tessuti,Jersey,10.00,kg,materiale,kg,,
ACC-103,Etichette,Etichetta composizione riciclata,0.03,cad.,accessorio,cad,,
ACC-104,Etichette,Etichetta brand,0.48,cad.,accessorio,cad,,
ACC-105,Packaging,Cartellino standard,0.598,cad.,accessorio,cad,,
ACC-106,Accessori,Fettuccia rossa singola,3.00,m,accessorio,m,,
ACC-107,Accessori,Fettuccia rossa doppia,4.00,m,accessorio,m,,
LAV-101,Lavorazioni,Taglio felpa base,1.50,capo,lavorazione,capo,,
LAV-102,Lavorazioni,Digitalizzazione taglio,5.00,capo,lavorazione,capo,,
LAV-103,Lavorazioni,Sviluppo modello,5.00,capo,lavorazione,capo,,
LAV-104,Ricami,Ricamo Heemia grande su felpa,15.00,capo,lavorazione,capo,,
ACC-108,Accessori,Fibbia,0.181,cad.,accessorio,cad,,
ACC-109,Zip,CM63 #8 Canna Fucile Lucido Divisibile Reversibile Nero,5.50,cad.,accessorio,cad,,
ACC-110,Zip,CM61 #8 Canna Fucile Lucido Divisibile Reversibile Nero,5.20,cad.,accessorio,cad,,
ACC-111,Zip,CM66 #8 Canna Fucile Lucido Divisibile Reversibile,5.95,cad.,accessorio,cad,,Colore da verificare
ACC-112,Zip,CM210 / CM21 #3 Canna Fucile Lucido FX RZI552,0.938,cad.,accessorio,cad,,
ACC-113,Zip,CM26 #3 Canna Fucile Lucido FX RZI552,1.06,cad.,accessorio,cad,,
MAT-104,Imbottiture,Ovatta 100 g,1.68,m,materiale,m,,
MAT-105,Fodere,Fodera Mirtillo 100% Poliestere CM150 GR195,4.95,m,materiale,m,,
MAT-106,Rinforzi,Nylostar 19 Velina biadesiva 100% Poliuretano,6.03,m,materiale,m,,
MAT-107,Fodere,Fodera Piuma Perla 62% AC - 38% VI CM140,2.80,m,materiale,m,,
ACC-114,Cartotecnica,Velina,0.062,foglio,accessorio,cad,,Un foglio = un pezzo: l'app non ha l'unita foglio
ACC-115,Accessori,Bottone automatico,0.495,cad.,accessorio,cad,,
ACC-116,Filati,Filo da cucire,4.80,rocca,accessorio,cad,,Una rocca = un pezzo: l'app non ha l'unita rocca
ACC-117,Accessori,Cordone elastico,0.28,m,accessorio,m,,
MAT-108,Tessuti,Felpa Louis,5.80,m,materiale,m,,
MAT-109,Tessuti,Costina,4.20,m,materiale,m,,
MAT-110,Tessuti,Felpa Gigiotop,6.50,m,materiale,m,,
ACC-118,Packaging,Cartellino Aurea,0.598,cad.,accessorio,cad,,
MAT-111,Tessuti,Felpa Piqué,7.50,m,materiale,m,,
ACC-119,Packaging,Cartellino 10.01,0.799,cad.,accessorio,cad,,
MAT-112,Tessuti,Lycra lucida,7.00,m,materiale,m,,
