sku,codice_prodotto,nome_capo,taglia,colore,stock_disponibile,fonte
HEE-ADELAIDE-S-BIA,HEE-001,Adelaide,S,BIANCO,0,inventario
HEE-ADELAIDE-M-BIA,HEE-001,Adelaide,M,BIANCO,2,inventario
HEE-ADELAIDE-L-BIA,HEE-001,Adelaide,L,BIANCO,3,inventario
HEE-ADELAIDE-S-PIO,HEE-001,Adelaide,S,PIOMBO,1,inventario
HEE-ADELAIDE-M-PIO,HEE-001,Adelaide,M,PIOMBO,6,inventario
HEE-ADELAIDE-L-PIO,HEE-001,Adelaide,L,PIOMBO,6,inventario
HEE-ADELAIDE-S-COR,HEE-001,Adelaide,S,CORDA,4,inventario
HEE-ADELAIDE-M-COR,HEE-001,Adelaide,M,CORDA,8,inventario
HEE-ADELAIDE-L-COR,HEE-001,Adelaide,L,CORDA,7,inventario
HEE-ALASKA-TU-CRE,HEE-002,Alaska,TU,CREMA,3,inventario
HEE-ALICANTE-S-CRE,HEE-003,Alicante,S,CREMA,1,inventario
HEE-ALICANTE-M-CRE,HEE-003,Alicante,M,CREMA,4,inventario
HEE-ALICANTE-S-NER,HEE-003,Alicante,S,NERO,2,inventario
HEE-ALICANTE-M-NER,HEE-003,Alicante,M,NERO,3,inventario
HEE-ALTEA-TU-NER,HEE-004,Altea,TU,NERO,4,inventario
HEE-ALTEA-TU-CIO,HEE-004,Altea,TU,CIOCCOLATO,3,inventario
HEE-ALTEA-TU-BIA,HEE-004,Altea,TU,BIANCO,3,inventario
HEE-AMALFI-S-CRE,HEE-005,Amalfi,S,CREMA,2,inventario
HEE-AMALFI-M-CRE,HEE-005,Amalfi,M,CREMA,4,inventario
HEE-AMALFI-L-CRE,HEE-005,Amalfi,L,CREMA,0,inventario
HEE-AMALFI-XL-CRE,HEE-005,Amalfi,XL,CREMA,0,inventario
HEE-AMALFI-XXL-CRE,HEE-005,Amalfi,XXL,CREMA,0,inventario
HEE-AMALFI-S-NER,HEE-005,Amalfi,S,NERO,2,inventario
HEE-AMALFI-M-NER,HEE-005,Amalfi,M,NERO,2,inventario
HEE-AMALFI-L-NER,HEE-005,Amalfi,L,NERO,0,inventario
HEE-AMALFI-XL-NER,HEE-005,Amalfi,XL,NERO,0,inventario
HEE-AMALFI-XXL-NER,HEE-005,Amalfi,XXL,NERO,0,inventario
HEE-AMSTERDA-S-NER,HEE-006,Amsterdam,S,NERO,2,inventario
HEE-AMSTERDA-M-NER,HEE-006,Amsterdam,M,NERO,3,inventario
HEE-AMSTERDA-L-NER,HEE-006,Amsterdam,L,NERO,0,inventario
HEE-AMSTERDA-S-CAM,HEE-006,Amsterdam,S,CAMMELLO,1,inventario
HEE-AMSTERDA-M-CAM,HEE-006,Amsterdam,M,CAMMELLO,5,inventario
HEE-AMSTERDA-L-CAM,HEE-006,Amsterdam,L,CAMMELLO,0,inventario
HEE-AMSTERDA-S-BIA,HEE-006,Amsterdam,S,BIANCO,0,inventario
HEE-AMSTERDA-M-BIA,HEE-006,Amsterdam,M,BIANCO,1,inventario
HEE-AMSTERDA-L-BIA,HEE-006,Amsterdam,L,BIANCO,1,inventario
HEE-AMSTERDA-S-PIO,HEE-006,Amsterdam,S,PIOMBO,5,inventario
