nome,categoria,piva,citta,telefono,email
Gruppo Tessile BI-EFFE,Passamaneria,IT01362490367,Correggio,+39 0522 1483911,bi-effesnc@newmail.it
A B STOCK,Tessuti,IT03337340362,Soliera,+39 059 859555,info@abstock.net
W.A.A.M.,Asole/Bottoni,IT02063880369,Soliera,+39 059 565792,waamsnc@gmail.com
FODERCENTER,Fodere,IT01006040362,Carpi,+39 059 698155,fodercenter.gpt@fodercenter.com
Captex,Felpa,IT06265161213,S. Giuseppe V.,+39 081 5296258,info@captex.it
NEOCAP,Lycra,IT07254461218,S. Giuseppe V.,+39 081 5296120,
Bugnion,Marchi e brevetti,IT00850400151,Milano,+39 02 693031,
EVENTEX,Cartellini/Etichette,IT03289860367,Carpi,+39 059 660626,
ULISSE ACCESSORI MODA,Accessori,IT01795820362,Carpi,+39 059 6310311,info@ulissefashion.com
ROZA ITALIA,Zip,IT06213820480,Carpi,+39 059 690024,info.rozaitalia@gmail.com
Studio Malavasi Testi,Commercialista,IT03789990367,Carpi,+39 059 653713,malavasitesti@studiomalavasitesti.com
F.A.C.O.M.,Bottoni,IT02991570363,Carpi,+39 059 333475,
Gierre Moda Service,Modellistica,IT01970020366,Carpi,+39 059 641058,
Millefili,Filati,IT02397170362,Carpi,+39 059 6222711,
Manicardi Berni,Consulenza,IT03053240366,Carpi,+39 059 689357,
Pettinatura Lagopolane,Filati,,Prato (PO),,
Filigea S.r.l.,Filati,,Carpi (MO),,filigea@igeayarn.it
Marrone Textile S.r.l.,Tessuti,,Mercato S. Severino (SA),,marronetextilesrl@gmail.com
Baronet S.r.l.,Accessori vari,,Carpi (MO),,info@baronet.it
Modulo Sei S.r.l.,Biglietti,,Camposanto (MO),,modulosei@modulosei.it
Uniesse Service S.r.l.,Spalline,,Bergamo (BG),,amministrazione@uniesseservice.it
Progetto Moda H.A.L.E.,Modellistica/Confezione,,Reggio Emilia (RE),,info@progettomodahale.it
Ricami Monica S.r.l.,Ricami,,Carpi (MO),,ricamimonica@gmail.com
Klamore S.r.l.,Ricami,,Carpi (MO),,
Fattoria delle Lane,Ricami,,Carpi (MO),,info@fattoriadellelane.com
Lucchini Maglie S.N.C.,Smacchinatore,,Novellara (RE),,
Nicomar Maglierie,Smacchinatore,,Gazzo Veronese (VR),,mauro.nicomar@gmail.com
D. Savitex S.r.l.,Smacchinatore,,Carpi (MO),,info@dsavitex.it
NJJ S.r.l.,Confezione,,Reggio Emilia (RE),,
